et,lt,count,available,complete
1330704000.000,1330707600.000,11,11,1
1330707600.000,1330711200.000,11,11,1
1330711200.000,1330714800.000,13,13,1
1330714800.000,1330718400.000,0,0,1
1330718400.000,1330722000.000,0,0,1
1330722000.000,1330725600.000,0,0,1
1330725600.000,1330729200.000,0,0,1
1330729200.000,1330732800.000,162,162,1
1330732800.000,1330736400.000,15,15,1
1330736400.000,1330740000.000,0,0,1
1330740000.000,1330743600.000,0,0,1
1330743600.000,1330747200.000,0,0,1
1330747200.000,1330750800.000,0,0,1
1330750800.000,1330754400.000,0,0,1
1330754400.000,1330758000.000,0,0,1
1330758000.000,1330761600.000,0,0,1
1330761600.000,1330765200.000,0,0,1
1330765200.000,1330768800.000,0,0,1
1330768800.000,1330772400.000,0,0,1
1330772400.000,1330776000.000,0,0,1
1330776000.000,1330779600.000,0,0,1
1330779600.000,1330783200.000,0,0,1
1330783200.000,1330786800.000,0,0,1
1330786800.000,1330790400.000,0,0,1
1330790400.000,1330794000.000,0,0,1
1330794000.000,1330797600.000,0,0,1
1330797600.000,1330801200.000,0,0,1
1330801200.000,1330804800.000,0,0,1
1330804800.000,1330808400.000,0,0,1
1330808400.000,1330812000.000,0,0,1
1330812000.000,1330815600.000,0,0,1
1330815600.000,1330819200.000,0,0,1
1330819200.000,1330822800.000,0,0,1
1330822800.000,1330826400.000,0,0,1
1330826400.000,1330830000.000,0,0,1
1330830000.000,1330833600.000,0,0,1
1330833600.000,1330837200.000,0,0,1
1330837200.000,1330840800.000,0,0,1
1330840800.000,1330844400.000,0,0,1
1330844400.000,1330848000.000,0,0,1
1330848000.000,1330851600.000,0,0,1
1330851600.000,1330855200.000,0,0,1
1330855200.000,1330858800.000,0,0,1
1330858800.000,1330862400.000,0,0,1
1330862400.000,1330866000.000,0,0,1
1330866000.000,1330869600.000,0,0,1
1330869600.000,1330873200.000,0,0,1
1330873200.000,1330876800.000,0,0,1
1330876800.000,1330880400.000,0,0,1
1330880400.000,1330884000.000,0,0,1
1330884000.000,1330887600.000,0,0,1
1330887600.000,1330891200.000,0,0,1
1330891200.000,1330894800.000,0,0,1
1330894800.000,1330898400.000,0,0,1
1330898400.000,1330902000.000,0,0,1
1330902000.000,1330905600.000,0,0,1
1330905600.000,1330909200.000,0,0,1
1330909200.000,1330912800.000,197,197,1
1330912800.000,1330916400.000,113,113,1
1330916400.000,1330920000.000,13,13,1
1330920000.000,1330923600.000,55,55,1
1330923600.000,1330927200.000,10,10,1
1330927200.000,1330930800.000,10,10,1
1330930800.000,1330934400.000,98,98,1
1330934400.000,1330938000.000,14,14,1
1330938000.000,1330941600.000,1514,1514,1
1330941600.000,1330945200.000,17,17,1
1330945200.000,1330948800.000,33,33,1
1330948800.000,1330952400.000,0,0,1
1330952400.000,1330956000.000,0,0,1
1330956000.000,1330959600.000,0,0,1
1330959600.000,1330963200.000,0,0,1
1330963200.000,1330966800.000,0,0,1
1330966800.000,1330970400.000,0,0,1
1330970400.000,1330974000.000,0,0,1
1330974000.000,1330977600.000,0,0,1
1330977600.000,1330981200.000,0,0,1
1330981200.000,1330984800.000,0,0,1
1330984800.000,1330988400.000,0,0,1
1330988400.000,1330992000.000,0,0,1
1330992000.000,1330995600.000,0,0,1
1330995600.000,1330999200.000,7,7,1
1330999200.000,1331002800.000,0,0,1
1331002800.000,1331006400.000,254,254,1
1331006400.000,1331010000.000,213,213,1
1331010000.000,1331013600.000,202,202,1
1331013600.000,1331017200.000,17,17,1
1331017200.000,1331020800.000,82,82,1
1331020800.000,1331024400.000,1656,1656,1
1331024400.000,1331028000.000,66,66,1
1331028000.000,1331031600.000,2634,2634,1
1331031600.000,1331035200.000,0,0,1
1331035200.000,1331038800.000,0,0,1
1331038800.000,1331042400.000,0,0,1
1331042400.000,1331046000.000,0,0,1
1331046000.000,1331049600.000,0,0,1
1331049600.000,1331053200.000,0,0,1
1331053200.000,1331056800.000,0,0,1
1331056800.000,1331060400.000,0,0,1
1331060400.000,1331064000.000,0,0,1
1331064000.000,1331067600.000,0,0,1
1331067600.000,1331071200.000,0,0,1
1331071200.000,1331074800.000,0,0,1
1331074800.000,1331078400.000,166,166,1
1331078400.000,1331082000.000,0,0,1
1331082000.000,1331085600.000,159,159,1
1331085600.000,1331089200.000,19,19,1
1331089200.000,1331092800.000,28,28,1
1331092800.000,1331096400.000,174,174,1
1331096400.000,1331100000.000,91,91,1
1331100000.000,1331103600.000,43,43,1
1331103600.000,1331107200.000,29,29,1
1331107200.000,1331110800.000,26,26,1
1331110800.000,1331114400.000,23,23,1
1331114400.000,1331118000.000,36,36,1
1331118000.000,1331121600.000,337,337,1
1331121600.000,1331125200.000,85,85,1
1331125200.000,1331128800.000,0,0,1
1331128800.000,1331132400.000,0,0,1
1331132400.000,1331136000.000,0,0,1
1331136000.000,1331139600.000,746,746,1
1331139600.000,1331143200.000,0,0,1
1331143200.000,1331146800.000,0,0,1
1331146800.000,1331150400.000,0,0,1
1331150400.000,1331154000.000,14,14,1
1331154000.000,1331157600.000,0,0,1
1331157600.000,1331161200.000,0,0,1
1331161200.000,1331164800.000,1677,1677,1
1331164800.000,1331168400.000,1036,1036,1
1331168400.000,1331172000.000,3,3,1
1331172000.000,1331175600.000,3,3,1
1331175600.000,1331179200.000,3835,3835,1
1331179200.000,1331182800.000,167,167,1
1331182800.000,1331186400.000,56,56,1
1331186400.000,1331190000.000,315,315,1
1331190000.000,1331193600.000,145,145,1
1331193600.000,1331197200.000,214,214,1
1331197200.000,1331200800.000,63,63,1
1331200800.000,1331204400.000,307,307,1
1331204400.000,1331208000.000,181,181,1
1331208000.000,1331211600.000,197,197,1
1331211600.000,1331215200.000,0,0,1
1331215200.000,1331218800.000,0,0,1
1331218800.000,1331222400.000,175,175,1
1331222400.000,1331226000.000,308,308,1
1331226000.000,1331229600.000,565,565,1
